item_name,price,availability,color,type,case,range,frets,body_material,ukulele_type,fretboard_material,fingerboard_material,url
FLIGHT TUS 35 OR,2550,В наличии,Оранжевый,Без звукоснимателя,Чехол,13,15,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A073417#characteristics
"WATERMAN by KALA KA-SWB-YL Waterman Pale Yellow, Matte, Soprano Ukulele",3100,В наличии,Желтый,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081042#characteristics
"WATERMAN by KALA KA-SWF-GN Waterman Fluorescent Green, Soprano Ukulele",3100,В наличии,Салатовый,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081044#characteristics
CORDOBA PROTEGE U1 Ukulele,6800,В наличии,Натуральный,Без звукоснимателя,,15.2,18,Махагони,Концерт,Палисандр,Красное дерево,https://www.muztorg.ru/product/A065247#characteristics
VESTON KUS 15OR,2140,В наличии,Оранжевый,Без звукоснимателя,,13,13,Липа,Сопрано,Искусственное черное дерево,Ламинат,https://www.muztorg.ru/product/A073423#characteristics
WIKI UK30S,4197,В наличии,Натуральный,Без звукоснимателя,Чехол,13.6,12,Красное дерево,Сопрано,,,https://www.muztorg.ru/product/A062329#characteristics
KALA KA-SEMBK Soprano Exotic Mahogany Black Ukulele,8100,В наличии,Черный,Без звукоснимателя,,13.6,12,Красное дерево,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087742#characteristics
KALA MK-B Makala Baritone Ukulele,8800,В наличии,Натуральный,Без звукоснимателя,,20.2,18,Красное дерево,Баритон,Орех,Красное дерево,https://www.muztorg.ru/product/A087715#characteristics
KALA KA-SEMB Kala Soprano Exotic Mahogany Blue Ukulele,7900,В наличии,Голубой,Без звукоснимателя,,13.6,12,Красное дерево,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087741#characteristics
KALA KA-CEMBK Concert Exotic Mahogany Black Ukulele,9400,В наличии,Черный,Без звукоснимателя,,14.8,18,Красное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087745#characteristics
KALA MK-T Makala Tenor Ukulele,6900,В наличии,Натуральный,Без звукоснимателя,,17,18,Красное дерево,Тенор,Орех,Красное дерево,https://www.muztorg.ru/product/A087713#characteristics
WATERMAN by KALA KA-SWF-PL Waterman Fluorescent Grape Soprano Ukulele,3100,В наличии,Сиреневый,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A081047#characteristics
KALA KA-C Kala Mahogany Concert Ukulele,7700,В наличии,Натуральный,Без звукоснимателя,,14.8,18,Красное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087731#characteristics
"KALA KA-15C Kala Mahogany Concert Ukulele, No Binding",6300,В наличии,Натуральный,Без звукоснимателя,,14.8,18,Красное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087727#characteristics
KALA KA-SMC Kala Spalted Maple Concert Ukulele,15200,В наличии,Натуральный,Без звукоснимателя,,14.8,18,Клен,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087767#characteristics
CORDOBA 21C Concert,14000,В наличии,Натуральный,Без звукоснимателя,,,18,"Ель, черное дерево",Концерт,Композит,Красное дерево,https://www.muztorg.ru/product/A076542#characteristics
KALA KA-S Kala Mahogany Soprano Ukulele w/Binding,6200,В наличии,Натуральный,Без звукоснимателя,,13.6,12,Красное дерево,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087729#characteristics
KALA KA-EBY-C Kala Ebony Concert Ukulele,12700,В наличии,Натуральный,Без звукоснимателя,,14.8,18,Черное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087758#characteristics
CORDOBA 15 TM,8900,В наличии,Натуральный,Без звукоснимателя,,17,19,Красное дерево,Тенор,Композит,Красное дерево,https://www.muztorg.ru/product/A065253#characteristics
CORDOBA 23 C,15400,В наличии,Натуральный,Без звукоснимателя,,15.2,18,Ованкол,Концерт,Палисандр,Махагони,https://www.muztorg.ru/product/A065265#characteristics
KALA KA-SMS Kala Spalted Maple Soprano Ukulele,14200,В наличии,Натуральный,Без звукоснимателя,,13.6,12,Клен,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087766#characteristics
KALA KA-CEM Kala Concert Exotic Mahogany Ukulele,9300,В наличии,Оранжевый,Без звукоснимателя,,14.8,18,Красное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087743#characteristics
CORDOBA 20 SM,12500,В наличии,Натуральный,Без звукоснимателя,,13.6,16,Красное дерево,Сопрано,Палисандр,Красное дерево,https://www.muztorg.ru/product/A065254#characteristics
KALA KA-SEM Kala Soprano Exotic Mahogany Ukulele,7900,В наличии,Оранжевый,Без звукоснимателя,,13.6,12,Красное дерево,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087740#characteristics
KALA KA-PWC Kala Pacific Walnut Concert Ukulele,9000,В наличии,Натуральный,Без звукоснимателя,,14.8,18,Орех,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087752#characteristics
KALA KA-PWS Kala Pacific Walnut Soprano Ukulele,8200,В наличии,Натуральный,Без звукоснимателя,,13.6,12,Орех,Сопрано,Орех,Красное дерево,https://www.muztorg.ru/product/A087751#characteristics
CORDOBA 20 CM,13800,В наличии,Натуральный,Без звукоснимателя,,13.6,16,Махагони,Концерт,Палисандр,Махагони,https://www.muztorg.ru/product/A065255#characteristics
CORDOBA 28C CONCERT UKULELE HAWAIIAN KOA,15600,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A095237
CORDOBA 28S SOPRANO UKULELE HAWAIIAN KOA,14600,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A095236
"FENDER Seaside Soprano Uke Pack, Nat",9200,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A094245
Suzuki SRUK-1 RD,6420,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A104096
FLIGHT DUC 373 MAH,5700,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A103034
FLIGHT DUS 371 MAH,5100,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A103036
FLIGHT NUS 310 BLACKBIRD,4300,В наличии,Черный,Без звукоснимателя,Чехол,,12,Сапеле,Сопрано,Композит,Окоуме,https://www.muztorg.ru/product/A094113#characteristics
WIKI UK/ANIMALS,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101179
WIKI UK10G/RD,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101199
